기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2022,4,A,골목상권,2111023,문정역 1번,4682,2809,1873,8,724,962,1124,1079,785,2,348,579,724,600,556,6,376,383,400,479,229
2022,4,A,골목상권,2111022,석촌중학교(방이육교),11171,7061,4110,23,1357,2490,2437,2244,2620,9,716,1668,1619,1268,1781,14,641,822,818,976,839
2022,4,A,골목상권,2111021,방이역 4번,11935,8619,3316,39,1562,2502,3053,2900,1879,27,822,1638,2262,2278,1592,12,740,864,791,622,287
2022,4,A,골목상권,2111020,방이동고분군(방산고등학교),6318,3723,2595,19,898,1441,1494,1560,906,12,427,835,927,919,603,7,471,606,567,641,303
2022,4,A,골목상권,2111019,한성백제역 3번,17428,9415,8013,47,2799,3938,3794,4086,2764,34,1482,2587,2120,1689,1503,13,1317,1351,1674,2397,1261
2022,4,A,골목상권,2111018,풍납초등학교(풍납백제문화공원),1322,801,521,0,186,299,301,335,201,0,99,158,169,220,155,0,87,141,132,115,46
2022,4,A,골목상권,2111017,송파나루역 3번,7518,4240,3278,22,1335,1443,1570,1943,1205,16,636,929,992,985,682,6,699,514,578,958,523
2022,4,A,골목상권,2111016,송파역 2번,17063,11286,5777,65,2224,3744,4130,3798,3102,46,1099,2434,3059,2519,2129,19,1125,1310,1071,1279,973
2022,4,A,골목상권,2111015,석촌역 3번,12636,8115,4521,27,1865,3083,2891,2543,2227,11,946,2081,1944,1588,1545,16,919,1002,947,955,682
2022,4,A,골목상권,2111014,송파나루역 2번,14245,8390,5855,26,2077,3609,3332,3152,2049,12,1010,2234,2195,1757,1182,14,1067,1375,1137,1395,867
2022,4,A,골목상권,2111013,송파나루역 1번(송리단길),14226,8959,5267,26,2198,4197,3547,2563,1695,8,1070,2666,2388,1628,1199,18,1128,1531,1159,935,496
2022,4,A,골목상권,2111012,석촌역 6번,6180,3598,2582,11,624,1426,1478,1279,1362,5,303,977,873,617,823,6,321,449,605,662,539
2022,4,A,골목상권,2111011,잠실나루역,10263,8174,2089,42,1383,3190,3039,2132,477,18,976,2602,2477,1735,366,24,407,588,562,397,111
2022,4,A,골목상권,2111010,석촌역 7번,7908,5556,2352,11,859,1781,1872,1423,1962,8,472,1253,1268,916,1639,3,387,528,604,507,323
2022,4,A,골목상권,2111009,송파책박물관,2198,1590,608,5,244,436,453,548,512,3,191,328,324,352,392,2,53,108,129,196,120
2022,4,A,골목상권,2111008,석촌고분역 3번,5190,3263,1927,13,640,1032,1256,1260,989,11,345,636,773,761,737,2,295,396,483,499,252
2022,4,A,골목상권,2111007,석촌고분역 4번,6337,4182,2155,12,863,1398,1389,1437,1238,11,532,949,921,882,887,1,331,449,468,555,351
2022,4,A,골목상권,2111006,석촌고분역 1번,17571,11961,5610,44,2435,3821,4234,3746,3291,29,1307,2544,2976,2542,2563,15,1128,1277,1258,1204,728
2022,4,A,골목상권,2111005,삼전역 3번,6038,4006,2032,15,892,1505,1406,1233,987,5,513,1061,958,761,708,10,379,444,448,472,279
2022,4,A,골목상권,2111004,삼전역 1번,18500,12541,5959,63,2605,4069,4548,4156,3059,21,1379,2681,3191,2968,2301,42,1226,1388,1357,1188,758
2022,4,A,골목상권,2111003,삼전역 4번,5935,3890,2045,37,711,1296,1484,1127,1280,2,366,849,960,726,987,35,345,447,524,401,293
2022,4,A,골목상권,2111002,한국교통안전공단 강남자동차검사소,569,334,235,0,41,89,114,175,150,0,16,52,64,100,102,0,25,37,50,75,48
2022,4,A,골목상권,2111001,아래방죽마을공원(율현초등학교),290,157,133,1,14,42,49,102,82,0,8,28,30,53,38,1,6,14,19,49,44
2022,4,A,골목상권,2111000,대왕초등학교(세곡동사거리서남측),294,138,156,6,35,84,93,56,20,3,11,31,49,30,14,3,24,53,44,26,6
2022,4,A,골목상권,2110999,윗방죽마을공원,464,257,207,3,35,80,86,139,121,1,17,50,56,81,52,2,18,30,30,58,69
